"Date","Price","Open","High","Low","Vol.","Change %"
"08/28/2023","2,732","2,752","2,752","2,712","16.35K","-0.36%"
"08/25/2023","2,742","2,732","2,742","2,722","9.93K","0.00%"
"08/24/2023","2,742","2,722","2,742","2,722","23.06K","0.73%"
"08/23/2023","2,722","2,693","2,752","2,683","16.75K","1.11%"
"08/22/2023","2,693","2,722","2,722","2,683","46.13K","-1.10%"
"08/21/2023","2,722","2,752","2,752","2,712","120.53K","-1.09%"
"08/18/2023","2,752","2,762","2,762","2,732","31.69K","-0.36%"
"08/16/2023","2,762","2,762","2,762","2,742","28.58K","0.00%"
"08/15/2023","2,762","2,752","2,762","2,742","8.42K","0.36%"
"08/14/2023","2,752","2,752","2,762","2,722","39.61K","0.00%"
"08/11/2023","2,752","2,752","2,762","2,752","197.35K","0.00%"
"08/10/2023","2,752","2,762","2,762","2,752","77.42K","-0.36%"
"08/09/2023","2,762","2,752","2,772","2,732","64.28K","0.73%"
"08/08/2023","2,742","2,742","2,762","2,712","16.65K","-0.72%"
"08/07/2023","2,762","2,722","2,762","2,712","100.88K","1.47%"
"08/04/2023","2,722","2,693","2,722","2,693","9.53K","0.00%"
"08/03/2023","2,722","2,683","2,722","2,683","19.15K","0.00%"
"08/02/2023","2,722","2,712","2,722","2,673","54.15K","0.37%"
"08/01/2023","2,712","2,722","2,722","2,683","13.44K","-0.37%"
"07/31/2023","2,722","2,693","2,722","2,673","57.76K","1.11%"
"07/28/2023","2,693","2,693","2,722","2,663","59.77K","-1.10%"
"07/27/2023","2,722","2,762","2,772","2,693","146.71K","-1.44%"
"07/26/2023","2,762","2,752","2,772","2,742","107.20K","0.36%"
"07/25/2023","2,752","2,742","2,752","2,732","47.03K","0.73%"
"07/24/2023","2,732","2,732","2,732","2,712","121.74K","0.37%"
"07/21/2023","2,722","2,752","2,772","2,722","19.86K","-1.09%"
"07/20/2023","2,752","2,722","2,752","2,722","97.37K","1.10%"
"07/18/2023","2,722","2,752","2,752","2,693","190.33K","-1.09%"
"07/17/2023","2,752","2,742","2,762","2,693","180.70K","0.36%"
"07/14/2023","2,742","2,732","2,782","2,712","123.84K","0.00%"
"07/13/2023","2,742","2,762","2,762","2,742","48.13K","-0.36%"
"07/12/2023","2,752","2,752","2,792","2,742","26.98K","0.00%"
"07/11/2023","2,752","2,752","2,752","2,732","21.96K","0.00%"
"07/10/2023","2,752","2,732","2,772","2,732","91.65K","1.10%"
"07/07/2023","2,722","2,772","2,772","2,643","84.43K","-1.80%"
"07/06/2023","2,772","2,762","2,772","2,702","117.13K","0.36%"
"07/05/2023","2,762","2,772","2,802","2,742","121.44K","0.00%"
"07/04/2023","2,762","2,762","2,782","2,722","154.43K","0.00%"
"07/03/2023","2,762","2,702","2,762","2,702","274.96K","2.21%"
"06/27/2023","2,702","2,693","2,702","2,673","62.67K","0.37%"
"06/26/2023","2,693","2,693","2,702","2,663","81.53K","0.75%"
"06/23/2023","2,673","2,673","2,673","2,643","82.73K","0.37%"
"06/22/2023","2,663","2,643","2,663","2,613","68.29K","0.38%"
"06/21/2023","2,653","2,593","2,653","2,593","38.91K","1.14%"
"06/20/2023","2,623","2,623","2,643","2,613","13.84K","0.00%"
"06/19/2023","2,623","2,633","2,643","2,593","31.99K","0.38%"
"06/16/2023","2,613","2,623","2,633","2,593","64.08K","0.38%"
"06/15/2023","2,603","2,613","2,613","2,593","18.35K","-0.38%"
"06/14/2023","2,613","2,603","2,613","2,583","10.03K","0.00%"
"06/13/2023","2,613","2,593","2,623","2,583","72.00K","0.77%"
"06/12/2023","2,593","2,583","2,603","2,553","52.55K","0.39%"
"06/09/2023","2,583","2,563","2,583","2,563","11.63K","0.39%"
"06/08/2023","2,573","2,573","2,583","2,553","19.96K","-0.39%"
"06/07/2023","2,583","2,583","2,583","2,553","9.63K","0.00%"
"06/06/2023","2,583","2,583","2,583","2,553","28.38K","0.00%"
"06/05/2023","2,583","2,583","2,593","2,553","19.25K","0.00%"
"05/31/2023","2,583","2,583","2,583","2,553","24.37K","0.00%"
"05/30/2023","2,583","2,583","2,583","2,533","16.15K","0.39%"
"05/29/2023","2,573","2,583","2,583","2,543","60.77K","-0.39%"
"05/26/2023","2,583","2,583","2,593","2,493","48.64K","0.00%"
"05/25/2023","2,583","2,603","2,603","2,573","11.03K","-0.77%"
"05/24/2023","2,603","2,603","2,603","2,583","12.54K","0.00%"
"05/23/2023","2,603","2,563","2,623","2,553","104.39K","1.95%"
"05/22/2023","2,553","2,473","2,563","2,473","65.38K","3.23%"
"05/19/2023","2,473","2,513","2,513","2,463","27.68K","-1.59%"
"05/17/2023","2,513","2,553","2,553","2,513","13.64K","-1.56%"
"05/16/2023","2,553","2,553","2,553","2,523","113.82K","0.00%"
"05/15/2023","2,553","2,553","2,563","2,533","111.31K","0.00%"
"05/12/2023","2,553","2,543","2,553","2,543","31.79K","0.39%"
"05/11/2023","2,543","2,553","2,553","2,533","32.29K","-0.39%"
"05/10/2023","2,553","2,523","2,553","2,523","98.67K","1.19%"
"05/09/2023","2,523","2,493","2,533","2,493","109.60K","0.80%"
"05/08/2023","2,503","2,493","2,523","2,473","87.34K","1.21%"
"05/05/2023","2,473","2,463","2,493","2,433","21.86K","0.81%"
"05/04/2023","2,453","2,473","2,473","2,453","21.76K","-0.81%"
"05/03/2023","2,473","2,493","2,493","2,453","50.74K","-0.40%"
"05/02/2023","2,483","2,473","2,503","2,413","73.30K","-2.35%"
"04/28/2023","2,543","2,543","2,553","2,493","203.67K","0.00%"
"04/27/2023","2,543","2,553","2,553","2,513","28.78K","-0.39%"
"04/26/2023","2,553","2,533","2,553","2,533","184.61K","1.59%"
"04/18/2023","2,513","2,503","2,543","2,473","156.64K","0.40%"
"04/17/2023","2,503","2,503","2,523","2,483","129.56K","0.00%"
"04/14/2023","2,503","2,503","2,513","2,473","18.85K","0.40%"
"04/13/2023","2,493","2,483","2,493","2,463","30.08K","0.40%"
"04/12/2023","2,483","2,503","2,503","2,473","12.54K","-0.40%"
"04/11/2023","2,493","2,483","2,513","2,473","6.82K","0.00%"
"04/10/2023","2,493","2,483","2,533","2,473","14.34K","0.40%"
"04/06/2023","2,483","2,493","2,493","2,463","28.48K","-0.40%"
"04/05/2023","2,493","2,463","2,503","2,463","15.24K","0.81%"
"04/04/2023","2,473","2,483","2,483","2,463","7.22K","-0.40%"
"04/03/2023","2,483","2,493","2,493","2,473","9.33K","-0.40%"
"03/31/2023","2,493","2,463","2,493","2,443","12.64K","1.21%"
"03/30/2023","2,463","2,513","2,513","2,463","27.38K","-1.98%"
"03/29/2023","2,513","2,503","2,513","2,483","11.33K","0.40%"
"03/28/2023","2,503","2,463","2,513","2,463","16.15K","2.03%"
"03/27/2023","2,453","2,483","2,483","2,453","4.21K","-1.20%"
"03/24/2023","2,483","2,483","2,483","2,433","7.22K","0.00%"
"03/21/2023","2,483","2,413","2,483","2,413","13.54K","1.63%"
"03/20/2023","2,443","2,473","2,553","2,403","22.16K","-1.61%"
"03/17/2023","2,483","2,393","2,493","2,393","25.67K","3.75%"
"03/16/2023","2,393","2,423","2,453","2,393","20.86K","-2.44%"
"03/15/2023","2,453","2,433","2,453","2,433","9.83K","0.82%"
"03/14/2023","2,433","2,443","2,483","2,433","8.12K","-0.81%"
"03/13/2023","2,453","2,453","2,453","2,443","16.15K","-0.40%"
"03/10/2023","2,463","2,473","2,503","2,453","32.39K","-0.40%"
"03/09/2023","2,473","2,473","2,473","2,443","16.05K","0.00%"
"03/08/2023","2,473","2,493","2,493","2,463","15.54K","-0.80%"
"03/07/2023","2,493","2,513","2,513","2,483","15.94K","-1.57%"
"03/06/2023","2,533","2,503","2,553","2,503","11.53K","1.19%"
"03/03/2023","2,503","2,513","2,523","2,473","9.63K","-0.40%"
"03/02/2023","2,513","2,513","2,513","2,473","43.42K","0.00%"
"03/01/2023","2,513","2,513","2,563","2,503","51.84K","0.00%"
"02/28/2023","2,513","2,503","2,513","2,473","19.25K","0.40%"
"02/27/2023","2,503","2,513","2,513","2,493","14.24K","-1.18%"
"02/24/2023","2,533","2,533","2,533","2,493","7.32K","0.00%"
"02/23/2023","2,533","2,533","2,533","2,493","1.60K","0.00%"
"02/22/2023","2,533","2,493","2,533","2,493","4.51K","0.40%"
"02/21/2023","2,523","2,513","2,543","2,493","11.03K","-0.39%"
"02/20/2023","2,533","2,523","2,543","2,513","27.08K","0.40%"
