"Date","Price","Open","High","Low","Vol.","Change %"
"02/16/2022","5,475","5,550","5,600","5,475","46.73M","-0.45%"
"02/15/2022","5,500","5,300","5,525","5,300","77.96M","3.77%"
"02/14/2022","5,300","5,400","5,425","5,250","74.31M","-2.75%"
"02/11/2022","5,450","5,450","5,475","5,400","36.38M","0.00%"
"02/10/2022","5,450","5,575","5,625","5,450","93.27M","-1.80%"
"02/09/2022","5,550","5,550","5,650","5,475","80.24M","0.00%"
"02/08/2022","5,550","5,525","5,700","5,500","95.69M","1.37%"
"02/07/2022","5,475","5,500","5,525","5,450","46.69M","-0.45%"
"02/04/2022","5,500","5,525","5,525","5,475","16.05M","0.00%"
"02/03/2022","5,500","5,500","5,550","5,450","38.57M","0.00%"
"02/02/2022","5,500","5,500","5,525","5,425","33.45M","0.46%"
"01/31/2022","5,475","5,475","5,550","5,450","32.01M","0.00%"
"01/28/2022","5,475","5,475","5,525","5,450","27.38M","0.00%"
"01/27/2022","5,475","5,425","5,525","5,400","34.57M","0.46%"
"01/26/2022","5,450","5,500","5,500","5,425","27.99M","0.00%"
"01/25/2022","5,450","5,500","5,500","5,375","56.71M","-1.36%"
"01/24/2022","5,525","5,600","5,625","5,525","27.13M","-1.34%"
"01/21/2022","5,600","5,525","5,625","5,500","40.71M","1.36%"
"01/20/2022","5,525","5,600","5,625","5,500","46.56M","-1.34%"
"01/19/2022","5,600","5,650","5,675","5,575","38.05M","-0.88%"
"01/18/2022","5,650","5,675","5,725","5,575","28.17M","-0.44%"
"01/17/2022","5,675","5,775","5,775","5,650","15.86M","-0.87%"
"01/14/2022","5,725","5,775","5,800","5,700","17.72M","-0.87%"
"01/13/2022","5,775","5,725","5,775","5,675","18.62M","0.87%"
"01/12/2022","5,725","5,725","5,725","5,650","21.28M","0.44%"
"01/11/2022","5,700","5,700","5,700","5,650","21.80M","0.88%"
"01/10/2022","5,650","5,675","5,725","5,650","15.38M","-0.88%"
"01/07/2022","5,700","5,725","5,750","5,650","25.01M","0.44%"
"01/06/2022","5,675","5,600","5,675","5,575","32.16M","1.79%"
"01/05/2022","5,575","5,725","5,775","5,550","50.42M","-3.46%"
"01/04/2022","5,775","5,750","5,875","5,725","29.77M","0.87%"
"01/03/2022","5,725","5,675","5,750","5,625","27.05M","0.44%"
"12/30/2021","5,700","5,775","5,775","5,700","17.14M","-0.87%"
"12/29/2021","5,750","5,750","5,775","5,675","14.26M","0.44%"
"12/28/2021","5,725","5,675","5,750","5,650","21.83M","0.88%"
"12/27/2021","5,675","5,725","5,750","5,650","20.43M","0.00%"
"12/24/2021","5,675","5,725","5,750","5,650","16.20M","-0.87%"
"12/23/2021","5,725","5,650","5,750","5,625","21.74M","1.78%"
"12/22/2021","5,625","5,700","5,775","5,625","33.73M","-0.44%"
"12/21/2021","5,650","5,675","5,750","5,650","29.13M","-0.44%"
"12/20/2021","5,675","5,750","5,775","5,675","26.29M","-2.16%"
"12/17/2021","5,800","5,800","5,825","5,725","55.85M","0.00%"
"12/16/2021","5,800","6,025","6,050","5,800","56.93M","-3.33%"
"12/15/2021","6,000","5,900","6,050","5,875","51.11M","2.13%"
"12/14/2021","5,875","5,925","5,925","5,850","17.23M","-0.42%"
"12/13/2021","5,900","5,925","5,975","5,875","30.66M","-0.42%"
"12/10/2021","5,925","5,950","5,950","5,800","55.63M","-1.25%"
"12/09/2021","6,000","5,900","6,000","5,800","35.39M","3.45%"
"12/08/2021","5,800","5,925","5,950","5,775","44.19M","-2.11%"
"12/07/2021","5,925","5,700","5,925","5,700","39.68M","4.87%"
"12/06/2021","5,650","5,750","5,800","5,650","53.11M","-1.74%"
"12/03/2021","5,750","5,900","5,925","5,725","31.88M","-1.71%"
"12/02/2021","5,850","5,650","5,875","5,600","48.42M","3.54%"
