"Date","Price","Open","High","Low","Vol.","Change %"
"08/28/2023","6,000","5,950","6,025","5,900","63.98M","1.69%"
"08/25/2023","5,900","5,900","5,925","5,825","65.09M","-0.84%"
"08/24/2023","5,950","5,900","5,950","5,875","42.65M","1.71%"
"08/23/2023","5,850","5,950","5,950","5,850","40.84M","-1.68%"
"08/22/2023","5,950","5,800","5,950","5,800","93.62M","2.15%"
"08/21/2023","5,825","5,800","5,875","5,800","61.85M","0.87%"
"08/18/2023","5,775","5,725","5,825","5,725","104.89M","-0.43%"
"08/16/2023","5,800","5,775","5,800","5,675","190.59M","0.00%"
"08/15/2023","5,800","5,900","5,925","5,800","116.82M","-2.52%"
"08/14/2023","5,950","5,925","5,950","5,800","86.46M","0.42%"
"08/11/2023","5,925","5,975","6,025","5,900","46.57M","-0.84%"
"08/10/2023","5,975","5,925","6,000","5,900","78.94M","1.27%"
"08/09/2023","5,900","5,900","5,950","5,850","64.50M","0.00%"
"08/08/2023","5,900","5,900","5,950","5,875","83.48M","0.43%"
"08/07/2023","5,875","5,850","5,925","5,825","104.34M","1.73%"
"08/04/2023","5,775","5,800","5,825","5,750","47.14M","-0.43%"
"08/03/2023","5,800","5,725","5,825","5,700","68.59M","1.75%"
"08/02/2023","5,700","5,625","5,750","5,600","133.55M","0.88%"
"08/01/2023","5,650","5,650","5,725","5,600","114.70M","-1.31%"
"07/31/2023","5,725","5,800","5,800","5,625","189.38M","0.44%"
"07/28/2023","5,700","5,625","5,725","5,625","121.97M","1.33%"
"07/27/2023","5,625","5,575","5,700","5,575","86.56M","0.90%"
"07/26/2023","5,575","5,550","5,600","5,525","88.53M","0.45%"
"07/25/2023","5,550","5,550","5,575","5,500","65.24M","0.91%"
"07/24/2023","5,500","5,550","5,625","5,500","54.87M","-0.90%"
"07/21/2023","5,550","5,550","5,575","5,450","111.28M","0.45%"
"07/20/2023","5,525","5,400","5,550","5,400","132.05M","3.27%"
"07/18/2023","5,350","5,375","5,425","5,300","84.11M","-0.47%"
"07/17/2023","5,375","5,425","5,475","5,375","99.90M","-0.46%"
"07/14/2023","5,400","5,400","5,425","5,350","122.34M","0.93%"
"07/13/2023","5,350","5,375","5,375","5,275","101.28M","0.94%"
"07/12/2023","5,300","5,300","5,375","5,250","123.95M","0.47%"
"07/11/2023","5,275","5,200","5,300","5,175","100.58M","1.93%"
"07/10/2023","5,175","5,175","5,225","5,150","82.69M","0.49%"
"07/07/2023","5,150","5,275","5,300","5,150","128.52M","-2.83%"
"07/06/2023","5,300","5,300","5,350","5,250","90.98M","0.47%"
"07/05/2023","5,275","5,300","5,325","5,250","78.43M","0.48%"
"07/04/2023","5,250","5,400","5,400","5,225","119.84M","-1.87%"
"07/03/2023","5,350","5,125","5,350","5,125","227.36M","2.88%"
"06/27/2023","5,200","5,175","5,250","5,150","101.61M","1.46%"
"06/26/2023","5,125","5,100","5,175","5,075","74.26M","0.99%"
"06/23/2023","5,075","5,075","5,125","5,050","47.28M","0.00%"
"06/22/2023","5,075","5,100","5,150","5,075","60.46M","-0.49%"
"06/21/2023","5,100","5,050","5,100","5,050","58.52M","0.00%"
"06/20/2023","5,100","5,100","5,125","5,050","44.32M","-0.49%"
"06/19/2023","5,125","5,100","5,150","5,100","36.21M","-0.49%"
"06/16/2023","5,150","5,125","5,150","5,075","103.94M","0.49%"
"06/15/2023","5,125","5,050","5,150","5,050","94.10M","1.49%"
"06/14/2023","5,050","5,125","5,150","5,050","96.67M","-0.98%"
"06/13/2023","5,100","5,100","5,175","5,050","143.80M","0.00%"
"06/12/2023","5,100","5,100","5,125","5,050","91.08M","-0.49%"
"06/09/2023","5,125","5,025","5,125","5,000","151.34M","1.99%"
"06/08/2023","5,025","5,000","5,075","5,000","173.48M","0.00%"
"06/07/2023","5,025","5,000","5,075","5,000","115.94M","-0.50%"
"06/06/2023","5,050","5,050","5,100","4,950","244.62M","-0.49%"
"06/05/2023","5,075","5,100","5,150","5,075","149.19M","0.50%"
"05/31/2023","5,050","5,175","5,200","5,050","242.45M","-1.94%"
"05/30/2023","5,150","5,100","5,200","5,100","60.30M","0.00%"
"05/29/2023","5,150","5,175","5,175","5,100","60.65M","0.49%"
"05/26/2023","5,125","5,175","5,200","5,100","42.31M","-0.97%"
"05/25/2023","5,175","5,050","5,175","5,050","66.33M","1.97%"
"05/24/2023","5,075","5,125","5,150","5,050","114.27M","-0.98%"
"05/23/2023","5,125","5,200","5,250","5,100","140.09M","-1.91%"
"05/22/2023","5,225","5,100","5,250","5,075","120.29M","2.96%"
"05/19/2023","5,075","5,075","5,100","5,025","71.45M","1.50%"
"05/17/2023","5,000","4,990","5,075","4,980","63.52M","0.20%"
"05/16/2023","4,990","5,075","5,075","4,980","46.89M","-1.19%"
"05/15/2023","5,050","5,050","5,050","5,000","65.31M","1.00%"
"05/12/2023","5,000","5,075","5,075","5,000","90.82M","-1.96%"
"05/11/2023","5,100","5,075","5,100","5,025","63.61M","0.49%"
"05/10/2023","5,075","5,050","5,125","5,050","58.17M","0.50%"
"05/09/2023","5,050","5,100","5,125","5,050","94.10M","-1.46%"
"05/08/2023","5,125","5,175","5,200","5,125","64.68M","-0.97%"
"05/05/2023","5,175","5,175","5,200","5,125","55.13M","0.00%"
"05/04/2023","5,175","5,175","5,225","5,125","92.25M","-0.96%"
"05/03/2023","5,225","5,250","5,250","5,150","92.72M","-0.48%"
"05/02/2023","5,250","5,250","5,250","5,175","117.68M","1.45%"
"04/28/2023","5,175","5,225","5,225","5,150","116.96M","-0.48%"
"04/27/2023","5,200","5,175","5,225","5,175","66.31M","0.00%"
"04/26/2023","5,200","5,400","5,425","5,175","207.34M","0.48%"
"04/18/2023","5,175","5,150","5,250","5,125","107.12M","0.98%"
"04/17/2023","5,125","5,225","5,250","5,125","95.83M","-1.91%"
"04/14/2023","5,225","5,150","5,250","5,150","123.63M","1.95%"
"04/13/2023","5,125","5,175","5,200","5,125","89.93M","-0.49%"
"04/12/2023","5,150","5,100","5,225","5,100","95.91M","0.98%"
"04/11/2023","5,100","5,100","5,100","5,050","37.78M","0.00%"
"04/10/2023","5,100","5,150","5,175","5,050","67.02M","-1.45%"
"04/06/2023","5,175","5,225","5,225","5,150","48.18M","-0.96%"
"04/05/2023","5,225","5,150","5,250","5,150","43.37M","0.48%"
"04/04/2023","5,200","5,250","5,300","5,100","84.14M","-1.19%"
"04/03/2023","5,263","5,200","5,263","5,200","92.31M","1.94%"
"03/31/2023","5,163","5,138","5,163","5,100","95.56M","0.98%"
"03/30/2023","5,113","5,175","5,200","5,113","97.19M","-1.21%"
"03/29/2023","5,175","5,125","5,188","5,100","88.21M","2.22%"
"03/28/2023","5,063","5,100","5,138","5,050","86.37M","-0.74%"
"03/27/2023","5,100","5,200","5,213","5,100","152.30M","-6.42%"
"03/24/2023","5,450","5,313","5,475","5,288","263.58M","3.81%"
"03/21/2023","5,250","5,050","5,250","5,038","116.46M","5.00%"
"03/20/2023","5,000","5,025","5,050","5,000","46.45M","-0.99%"
"03/17/2023","5,050","4,975","5,063","4,963","175.66M","2.54%"
"03/16/2023","4,925","5,038","5,038","4,913","124.90M","-1.99%"
"03/15/2023","5,025","5,025","5,088","4,925","233.24M","1.26%"
"03/14/2023","4,963","5,100","5,138","4,925","192.77M","-4.11%"
"03/13/2023","5,175","5,138","5,188","5,113","92.83M","-0.24%"
"03/10/2023","5,188","5,213","5,213","5,138","111.42M","-0.72%"
"03/09/2023","5,225","5,200","5,250","5,175","83.29M","1.70%"
